Entity IDs with URLs:
Type,Name,Entity ID,URL
Property,Record number,Hu6vgTp3F1c9Avw6dbj4cW,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Hu6vgTp3F1c9Avw6dbj4cW
Record Type Entity,Demolition of destroyed trailer home due to the storm,NHV5RxxUHQsLMPKyxhFJiD,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/NHV5RxxUHQsLMPKyxhFJiD
Status Entity,Demolition of destroyed trailer home due to the storm,NHV5RxxUHQsLMPKyxhFJiD,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/NHV5RxxUHQsLMPKyxhFJiD
Permit,"Demolition of destroyed trailer home due to the storm",BBzcWFX4Hg5CtR6MdR4NpH,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/BBzcWFX4Hg5CtR6MdR4NpH
Permit,"Permit #BR-SOL-24-00780.001",NHV5RxxUHQsLMPKyxhFJiD,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/NHV5RxxUHQsLMPKyxhFJiD
