Address,Entity ID,URL
"10490 GANDY BLVD, ST PETERSBURG FL 33702","XrDuCGpVtBXEX7jE4YqQEc","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/XrDuCGpVtBXEX7jE4YqQEc"
"10596 GANDY BLVD, ST PETERSBURG FL 33702","Tk2TLvxj5GtEbV7vVNrx1N","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Tk2TLvxj5GtEbV7vVNrx1N"
"10636 GANDY BLVD, 43, ST PETERSBURG 33702","UsdepoWa8vGmEuC2xn4j1f","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/UsdepoWa8vGmEuC2xn4j1f"
"10947 1ST WAY N, ST PETERSBURG FL 33702","6Cd8uVKtsEmquNdwpojkqS","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/6Cd8uVKtsEmquNdwpojkqS"
"2628 65TH AVE N, ST PETERSBURG FL 33702","VfRjw4eaBvqiAqgA5JiPTN","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/VfRjw4eaBvqiAqgA5JiPTN"
"3231 66TH AVE N, ST PETERSBURG FL 33702","LmDNEMdLE1jwpKVtU3NQcJ","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/LmDNEMdLE1jwpKVtU3NQcJ"
"6443 26TH WAY N, ST PETERSBURG FL 33702","LK6wzjrvGJVjex45bXyMTD","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/LK6wzjrvGJVjex45bXyMTD"
"6485 31ST ST N, ST PETERSBURG FL 33702","Y1TS4rBUY5Cg2SasK1o3g7","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Y1TS4rBUY5Cg2SasK1o3g7"
"6563 28TH ST N, ST PETERSBURG FL 33702","Y3fdGQw6kXnEKTXAjFCwnm","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Y3fdGQw6kXnEKTXAjFCwnm"
"6599 31ST ST N, ST PETERSBURG FL 33702","HkkxEbhCBTqU1VGnV5R7JC","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/HkkxEbhCBTqU1VGnV5R7JC"
"6599 31ST ST N, ST PETERSBURG FL 33702","RZByHuuGmDFXbtyNizH2Gt","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/RZByHuuGmDFXbtyNizH2Gt"
